author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;underground
ID 12972892;homeowner;https://www.cian.ru/rent/flat/288755399/;Москва;rent;flat;16;18;5;133.3;1237;165000;0;Измайлово;Нижняя Первомайская;Первомайская
УПРАВЛЯЮЩАЯ КОМПАНИЯ;real_estate_agent;https://www.cian.ru/rent/flat/286058253/;Москва;rent;flat;19;57;5;228.0;1289;294000;0;Хорошевский;Чапаевский переулок;Сокол
ID 413522;realtor;https://www.cian.ru/rent/flat/288645941/;Москва;rent;flat;2;7;5;312.0;6410;2000000;0;Хамовники;Ефремова;Фрунзенская
Денис Кузьменко;realtor;https://www.cian.ru/rent/flat/256015630/;Москва;rent;flat;2;8;4;120.0;708;85000;60;Ломоносовский;Крупской;Университет
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/278051409/;Москва;rent;flat;16;23;4;160.0;1000;160000;0;Покровское-Стрешнево;Иваньковское шоссе;Щукинская
Тимур Данилян;realtor;https://www.cian.ru/rent/flat/288596809/;Москва;rent;flat;4;5;4;155.0;2000;310000;30;Хамовники;Глазовский переулок;Смоленская
Ирина Барановская;realtor;https://www.cian.ru/rent/flat/259126306/;Москва;rent;flat;9;19;4;118.0;1186;140000;0;Хорошево-Мневники;проспект Маршала Жукова;Народное Ополчение
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/rent/flat/287950023/;Москва;rent;flat;8;13;4;74.0;945;70000;25;Проспект Вернадского;Лобачевского;Проспект Вернадского
ОЛИМП;real_estate_agent;https://www.cian.ru/rent/flat/285655980/;Москва;rent;flat;9;17;4;119.0;1008;120000;50;Нагатинский затон;Коломенская;Кленовый бульвар
Дарья Румянцева;realtor;https://www.cian.ru/rent/flat/287462429/;Москва;rent;flat;4;25;5;137.0;3576;490000;0;Аэропорт;Ленинградский проспект;Петровский Парк
Selenahome;real_estate_agent;https://www.cian.ru/rent/flat/279603975/;Москва;rent;flat;3;4;4;125.0;1432;179000;0;Мещанский;Последний переулок;Сухаревская
MERSI;real_estate_agent;https://www.cian.ru/rent/flat/286887549/;Москва;rent;flat;1;5;4;86.0;2093;180000;0;Тверской;Большой Каретный переулок;Цветной бульвар
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/288758572/;Москва;rent;flat;14;21;4;160.0;1250;200000;0;Якиманка;Шаболовка;Шаболовская
Корона;real_estate_agent;https://www.cian.ru/rent/flat/267339874/;Москва;rent;flat;12;35;5;147.0;1360;200000;0;Щукино;Авиационная;Щукинская
Корона;real_estate_agent;https://www.cian.ru/rent/flat/188349319/;Москва;rent;flat;10;25;4;213.0;938;200000;0;Можайский;Можайское шоссе;Кунцевская
Selenahome;real_estate_agent;https://www.cian.ru/rent/flat/273546732/;Москва;rent;flat;4;4;4;168.0;1267;213000;0;Мещанский;Последний переулок;Сухаревская
