author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;underground
Arkhipov team;real_estate_agent;https://www.cian.ru/rent/flat/288938067/;Москва;rent;flat;42;44;3;90.0;2444;220000;0;Пресненский;Ходынская;Улица 1905 года
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/286822655/;Москва;rent;flat;1;6;3;155.0;2064;320000;0;Мещанский;Трубная площадь;Трубная
SHOW ME;real_estate_agent;https://www.cian.ru/rent/flat/241610704/;Москва;rent;flat;6;10;3;146.0;3424;500000;0;Аэропорт;Ленинградский проспект;Динамо
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/286853797/;Москва;rent;flat;1;5;3;150.0;2133;320000;0;Мещанский;Трубная площадь;Трубная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/284845839/;Москва;rent;flat;3;7;3;160.0;2812;450000;0;Пресненский;Хлыновский тупик;Библиотека им. Ленина
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/288159207/;Москва;rent;flat;3;28;3;65.0;1307;85000;40;Войковский;Адмирала Макарова;Водный стадион
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/284549101/;Москва;rent;flat;3;7;3;160.0;2812;450000;0;Пресненский;Хлыновский тупик;Арбатская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/282213944/;Москва;rent;flat;10;12;3;107.0;1495;160000;0;Хорошевский;Чапаевский переулок;Аэропорт
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/286612121/;Москва;rent;flat;10;10;3;189.0;2380;450000;0;Тверской;Страстной бульвар;Чеховская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/286530490/;Москва;rent;flat;9;12;3;130.0;2076;270000;0;Якиманка;Серафимовича;Боровицкая
Оксана Васильева;realtor;https://www.cian.ru/rent/flat/287839463/;Москва;rent;flat;3;7;3;129.0;1550;200000;0;Хамовники;1-й Зачатьевский переулок;Кропоткинская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/286402806/;Москва;rent;flat;9;10;3;130.0;2076;270000;0;Якиманка;Серафимовича;Боровицкая
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/287527399/;Москва;rent;flat;6;9;3;136.0;5147;700000;0;Тверской;1-я Тверская-Ямская;Маяковская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/285504232/;Москва;rent;flat;3;10;3;144.0;2083;300000;0;Замоскворечье;Большая Татарская;Новокузнецкая
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/288775689/;Москва;rent;flat;24;28;3;102.4;1579;161700;0;Филевский парк;Василисы Кожиной;Багратионовская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/286273301/;Москва;rent;flat;6;9;3;136.0;5147;700000;0;Тверской;1-я Тверская-Ямская;Маяковская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/288544015/;Москва;rent;flat;10;13;3;128.0;2968;380000;0;Пресненский;Большая Бронная;Тверская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/280411262/;Москва;rent;flat;3;14;3;132.0;4469;590000;0;Хамовники;Трубецкая;Фрунзенская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/286251928/;Москва;rent;flat;6;12;3;102.0;1764;180000;0;Войковский;Ленинградское шоссе;Водный стадион
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/281642188/;Москва;rent;flat;3;12;3;135.0;4370;590000;0;Хамовники;Трубецкая;Фрунзенская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/288358037/;Москва;rent;flat;3;10;3;144.0;2083;300000;0;Замоскворечье;Большая Татарская;Новокузнецкая
Neva Towers;official_representative;https://www.cian.ru/rent/flat/278825100/;Москва;rent;flat;66;78;3;110.0;3909;430000;0;Пресненский;1-й Красногвардейский проезд;Тестовская
Neva Towers;official_representative;https://www.cian.ru/rent/flat/281250884/;Москва;rent;flat;67;78;3;142.5;4210;600000;0;Пресненский;1-й Красногвардейский проезд;Тестовская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/281494322/;Москва;rent;flat;3;6;3;100.0;1300;130000;0;Пресненский;Юлиуса Фучика;Маяковская
Mr. Franky Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/288896558/;Москва;rent;flat;10;22;3;135.0;2222;300000;0;Арбат;Малый Новопесковский переулок;Смоленская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/285689322/;Москва;rent;flat;4;6;3;75.0;3466;260000;0;Пресненский;Садовая-Кудринская;Маяковская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/288716062/;Москва;rent;flat;6;6;3;93.0;2043;190000;0;Красносельский;Уланский переулок;Тургеневская
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/287175685/;Москва;rent;flat;5;7;3;100.0;4000;400000;0;Хамовники;Льва Толстого;Парк Культуры
Зиля Карамова;realtor;https://www.cian.ru/rent/flat/284698264/;Москва;rent;flat;8;24;3;86.0;1593;137000;0;Хорошево-Мневники;Шелепихинская набережная;Шелепиха
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/288637366/;Москва;rent;flat;6;6;3;92.0;2065;190000;0;Красносельский;Уланский переулок;Красные ворота
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/270676694/;Москва;rent;flat;7;7;3;80.0;1625;130000;0;Дорогомилово;Кутузовский проспект;Выставочная
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/286342811/;Москва;rent;flat;3;11;3;110.0;1818;200000;0;Басманный;Казарменный переулок;Курская
